Date,Receipt,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
08/31/2025,,MOBILE PAYMENT - THANK YOU,-250.92,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320252430470875210',
08/29/2025,,SOUNDLY PRO MONTHLY OSLO                OS,19.99,"CH_3S1VN245 +4793294327
SOUNDLY PRO MONTHLY
OSLO
OS
+4793294327",SOUNDLY PRO MONTHLY OSLO                OS,"BYGDOY KAPELLVEI 20
OSLO",,0287,NORWAY,'320252410420887747',Merchandise & Supplies-Computer Supplies
08/28/2025,,BT*WAVES            KNOXVILLE           TN,24.99,"EGRE09YH    8659099200
BT*WAVES
KNOXVILLE
TN
8659099200",BT*WAVES            KNOXVILLE           TN,2800 MERCHANT DR,"KNOXVILLE
TN",37912,UNITED STATES,'320252410424230359',Merchandise & Supplies-Computer Supplies
08/27/2025,,CLOUDFLARE          SAN FRANCISCO       CA,10.44,"CH_3S0V8FCM +18889935273
CLOUDFLARE
SAN FRANCISCO
CA
+18889935273",CLOUDFLARE          SAN FRANCISCO       CA,101 TOWNSEND ST,"SAN FRANCISCO
CA",94107,UNITED STATES,'320252400409924102',Other-Miscellaneous
08/18/2025,,GASTROINTESTINAL   NArcadia             CA,60.00,"52301798193 6264615408
GASTROINTESTINAL   NON SU
Arcadia
CA
6264615408",GASTROINTESTINAL   NArcadia             CA,"623 WEST DUARTE RD
STE 8","ARCADIA
CA",91007-7349,UNITED STATES,'320252300110111241',Business Services-Health Care Services
08/12/2025,,UNIVERSAL A         8314401176          CA,49.00,"10187621492 8314401176
UNIVERSAL A
8314401176
CA
""Description : MUSIC STORES, MUSIC Price : 0.00""
8314401176",UNIVERSAL A         8314401176          CA,4585 SCOTTS VALLEY DRIVE,"SCOTTS VALLEY
CA",95066,UNITED STATES,'320252260010783170',Merchandise & Supplies-Music & Video
08/05/2025,,SPECTRUM            855-707-7328        MO,41.25,"RC117495026CABLE SVC
SPECTRUM
855-707-7328
MO
CABLE SVC",SPECTRUM            855-707-7328        MO,12405 POWERSCOURT DR,"SAINT LOUIS
MO",63131,UNITED STATES,'320252170752828524',Communications-Cable & Internet Comm
08/02/2025,,YOUR CASH REWARD/REFUND IS,-7.73,YOUR CASH REWARD/REFUND IS,YOUR CASH REWARD/REFUND IS,,,,,'320252150713876390',Fees & Adjustments-Fees & Adjustments
08/01/2025,,AUTOPAY PAYMENT - THANK YOU,-299.24,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,,,,,'320252130627819277',
07/31/2025,,FRAME.IO            SAN JOSE            CA,15.00,"CH_3RRA7BIE +12122777999
FRAME.IO
SAN JOSE
CA
+12122777999",FRAME.IO            SAN JOSE            CA,345 PARK AVE,"SAN JOSE
CA",95110,UNITED STATES,'320252130648350772',Merchandise & Supplies-Computer Supplies
07/28/2025,,BT*WAVES            KNOXVILLE           TN,24.99,"GRFZPMYJ    8659099200
BT*WAVES
KNOXVILLE
TN
8659099200",BT*WAVES            KNOXVILLE           TN,2800 MERCHANT DR,"KNOXVILLE
TN",37912,UNITED STATES,'320252100556274539',Merchandise & Supplies-Computer Supplies
07/19/2025,,DISTROKID EXTRAS    NEW YORK            NY,12.99,"CH_2RMEUNJS +14153666101
DISTROKID EXTRAS
NEW YORK
NY
+14153666101",DISTROKID EXTRAS    NEW YORK            NY,228 PARK AVE SOUTH,"NEW YORK
NY",10003,UNITED STATES,'320252000277270229',Other-Miscellaneous
07/17/2025,,CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA,200.00,"CH_3RLTJXBJ +14152360599
CLAUDE.AI SUBSCRIPTION
SAN FRANCISCO
CA
+14152360599",CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA,731 SANSOME ST,"SAN FRANCISCO
CA",94111,UNITED STATES,'320251980218606376',Merchandise & Supplies-Computer Supplies
07/05/2025,,SPECTRUM            855-707-7328        MO,39.25,"RC148595256CABLE SVC
SPECTRUM
855-707-7328
MO
CABLE SVC",SPECTRUM            855-707-7328        MO,12405 POWERSCOURT DR,"SAINT LOUIS
MO",63131,UNITED STATES,'320251860891501155',Communications-Cable & Internet Comm
07/01/2025,,DISTROKID MUSICIAN+ NEW YORK            NY,44.99,"CH_2RG6VJJS +14153666101
DISTROKID MUSICIAN+
NEW YORK
NY
+14153666101",DISTROKID MUSICIAN+ NEW YORK            NY,228 PARK AVE SOUTH,"NEW YORK
NY",10003,UNITED STATES,'320251820769813466',Other-Miscellaneous
07/01/2025,,MOBILE PAYMENT - THANK YOU,-76.08,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320251820763413532',
06/30/2025,,FRAME.IO            SAN JOSE            CA,15.00,"CH_3RFWJQIE +12122777999
FRAME.IO
SAN JOSE
CA
+12122777999",FRAME.IO            SAN JOSE            CA,345 PARK AVE,"SAN JOSE
CA",95110,UNITED STATES,'320251820784977670',Merchandise & Supplies-Computer Supplies
06/28/2025,,BT*WAVES            KNOXVILLE           TN,24.99,"P05R8H8Y    8659099200
BT*WAVES
KNOXVILLE
TN
8659099200",BT*WAVES            KNOXVILLE           TN,2800 MERCHANT DR,"KNOXVILLE
TN",37912,UNITED STATES,'320251800717562312',Merchandise & Supplies-Computer Supplies
06/23/2025,,SWINGERS DINER LLC 6LOS ANGELES         CA,55.57,"10156320250 3236535858
SWINGERS DINER LLC 650000011598557
LOS ANGELES
CA",SWINGERS DINER LLC 6LOS ANGELES         CA,8020 BEVERLY BLVD,"LOS ANGELES
CA",90048-4504,UNITED STATES,'320251760617609822',Restaurant-Restaurant
06/23/2025,,WEHO PARKING METERS WEST HOLLYWOO       CA,4.18,"29440227    877-630-6638
WEHO PARKING METERS 0039
WEST HOLLYWOO
CA
Description : PARKING FEES Price : 0.00
877-630-6638",WEHO PARKING METERS WEST HOLLYWOO       CA,8300 SANTA MONICA BLVD,"WEST HOLLYWOOD
CA",90069,UNITED STATES,'320251750582163649',Transportation-Parking Charges
06/23/2025,,WEHO PARKING METERS WEST HOLLYWOO       CA,4.28,"29440184    877-630-6638
WEHO PARKING METERS 0039
WEST HOLLYWOO
CA
Description : PARKING FEES Price : 0.00
877-630-6638",WEHO PARKING METERS WEST HOLLYWOO       CA,8300 SANTA MONICA BLVD,"WEST HOLLYWOOD
CA",90069,UNITED STATES,'320251750584020789',Transportation-Parking Charges
06/18/2025,,YOUR CASH REWARD/REFUND IS,-10.99,YOUR CASH REWARD/REFUND IS,YOUR CASH REWARD/REFUND IS,,,,,'320251700455933638',Fees & Adjustments-Fees & Adjustments
06/17/2025,,PP*4520CODE         4029357733          NE,-1.95,"10183032741 4029357733
PP*4520CODE
4029357733
NE
Description : PROFESSIONAL SERVIC Price : 0.00
4029357733",PP*4520CODE         4029357733          NE,2211 NORTH FIRST ST,"SAN JOSE
CA",95131,UNITED STATES,'320251690427505927',Merchandise & Supplies-General Retail
06/11/2025,,MOBILE PAYMENT - THANK YOU,-427.17,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320251620208192805',
06/07/2025,,SOUNDLY PRO MONTHLY OSLO                OS,14.99,"CH_3RXUHD45 +4793294327
SOUNDLY PRO MONTHLY
OSLO
OS
+4793294327",SOUNDLY PRO MONTHLY OSLO                OS,"BYGDOY KAPELLVEI 20
OSLO",,0287,NORWAY,'320251590145835194',Merchandise & Supplies-Computer Supplies
06/06/2025,,AT HOME STORE 330 33PASADENA            CA,110.24,"0115974     972-265-6227
AT HOME STORE 330 330
PASADENA
CA
Description : BED/BATH/LINEN Price : 0.00
972-265-6227",AT HOME STORE 330 33PASADENA            CA,3801 EAST FOOTHILL BLVD,"PASADENA
CA",91107,UNITED STATES,'320251580114432414',Merchandise & Supplies-Furnishing
06/05/2025,,GUITAR CENTER #125 1PASADENA            CA,27.61,"52152831    866-498-7882
GUITAR CENTER #125 125
PASADENA
CA
Description : MUSICAL INSTRUMENTS Price : 0.00
866-498-7882",GUITAR CENTER #125 1PASADENA            CA,2660 EAST COLORADO BLVD,"PASADENA
CA",91107,UNITED STATES,'320251570085403423',Merchandise & Supplies-Music & Video
06/05/2025,,SPECTRUM            855-707-7328        MO,39.25,"RC109061411CABLE SVC
SPECTRUM
855-707-7328
MO
CABLE SVC",SPECTRUM            855-707-7328        MO,12405 POWERSCOURT DR,"SAINT LOUIS
MO",63131,UNITED STATES,'320251560051983660',Communications-Cable & Internet Comm
06/04/2025,,GRAYSONS TUNE TOWN  MONTROSE            CA,104.91,"CH_3RWMX5JK +13854046200
GRAYSONS TUNE TOWN
MONTROSE
CA
+13854046200",GRAYSONS TUNE TOWN  MONTROSE            CA,2415 HONOLULU AVE,"MONTROSE
CA",91020,UNITED STATES,'320251550020889279',Merchandise & Supplies-Music & Video
06/04/2025,,THE HOME DEPOT #6037PASADENA            CA,10.90,"06040603732 626-517-4600
THE HOME DEPOT #6037
PASADENA
CA
626-517-4600",THE HOME DEPOT #6037PASADENA            CA,2881 EAST WALNUT ST,"PASADENA
CA",91107,UNITED STATES,'320251560046473827',Merchandise & Supplies-Hardware Supplies
06/03/2025,,PP*4520CODE         4029357733          NE,1.95,"10181873763 4029357733
PP*4520CODE
4029357733
NE
Description : PROFESSIONAL SERVIC Price : 0.00
4029357733",PP*4520CODE         4029357733          NE,.,"San Jose
CA",95131,UNITED STATES,'320251560059349137',Business Services-Internet Services
05/31/2025,,BEST BUY            PASADENA            CA,77.33,"004708950   888BESTBUY
BEST BUY
PASADENA
CA
Description : ELEC SLS Price : 0.00
888BESTBUY",BEST BUY            PASADENA            CA,3415 EAST FOOTHILL BLVD,"PASADENA
CA",91107,UNITED STATES,'320251520942273686',Merchandise & Supplies-Electronics Stores
05/31/2025,,FRAME.IO            SAN JOSE            CA,15.00,"CH_3RV3BAIE +12122777999
FRAME.IO
SAN JOSE
CA
+12122777999",FRAME.IO            SAN JOSE            CA,345 PARK AVE,"SAN JOSE
CA",95110,UNITED STATES,'320251520950329515',Merchandise & Supplies-Computer Supplies
05/29/2025,,MOBILE PAYMENT - THANK YOU,-116.01,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320251490847271543',
05/28/2025,,BT*WAVES            KNOXVILLE           TN,24.99,"QFNB3FXW    8659099200
BT*WAVES
KNOXVILLE
TN
8659099200",BT*WAVES            KNOXVILLE           TN,2800 MERCHANT DR,"KNOXVILLE
TN",37912,UNITED STATES,'320251490855457052',Merchandise & Supplies-Computer Supplies
05/24/2025,,FS *AUDINATE        877-327-8914        CA,99.98,"O36IZ0JCTFQ4E0F3FBECB193505 93101
FS *AUDINATE
877-327-8914
CA
4E0F3FBECB193505 93101",FS *AUDINATE        877-327-8914        CA,801 GDN ST 201,"SANTA BARBARA
CA",93101,UNITED STATES,'320251450760698151',Merchandise & Supplies-Internet Purchase
05/19/2025,,YOUR CASH REWARD/REFUND IS,-6.06,YOUR CASH REWARD/REFUND IS,YOUR CASH REWARD/REFUND IS,,,,,'320251400624913299',Fees & Adjustments-Fees & Adjustments
05/18/2025,,BEST BUY            PASADENA            CA,22.09,"000102734   888BESTBUY
BEST BUY
PASADENA
CA
Description : ELEC SLS Price : 0.00
888BESTBUY",BEST BUY            PASADENA            CA,3415 EAST FOOTHILL BLVD,"PASADENA
CA",91107,UNITED STATES,'320251390588775463',Merchandise & Supplies-Electronics Stores
05/12/2025,,MOBILE PAYMENT - THANK YOU,-293.03,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320251320380453374',
05/07/2025,,SOUNDLY PRO MONTHLY OSLO                OS,14.99,"CH_3RMFVC45 +4793294327
SOUNDLY PRO MONTHLY
OSLO
OS
+4793294327",SOUNDLY PRO MONTHLY OSLO                OS,"BYGDOY KAPELLVEI 20
OSLO",,0287,NORWAY,'320251280283247151',Merchandise & Supplies-Computer Supplies
05/05/2025,,FOREIGN TRANSACTION FEE,5.00,"PAYPAL *ACUSTICAUDI
$185.27
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820251260222229631',Fees & Adjustments-Fees & Adjustments
05/05/2025,,PAYPAL *ACUSTICAUDI 0371564914          IT,185.27,"10179523343 0371564914
PAYPAL *ACUSTICAUDI
0371564914
IT
Description : COMPUTER SOFTWARE S Price : 0.00
0371564914Foreign Spend Amount: 163.00 EURO Commission Amount:  Currency Exchange Rate: null",PAYPAL *ACUSTICAUDI 0371564914          IT,"""VIA TORTINI, 9""
LODI",,26900,ITALY,'320251260222229631',Merchandise & Supplies-Computer Supplies
05/05/2025,,SPECTRUM            855-707-7328        MO,39.25,"RC103541720CABLE SVC
SPECTRUM
855-707-7328
MO
CABLE SVC",SPECTRUM            855-707-7328        MO,12405 POWERSCOURT DR,"SAINT LOUIS
MO",63131,UNITED STATES,'320251250197926451',Communications-Cable & Internet Comm
05/03/2025,,LADOT METER PARKING LOS ANGELES         CA,0.25,"A6A06EB46ED0000000000000000090012
LADOT METER PARKING
LOS ANGELES
CA
0000000000000000090012",LADOT METER PARKING LOS ANGELES         CA,139 SOUTH GEORGE BURNS RD,"LOS ANGELS
CA",90048,UNITED STATES,'320251240170096341',Other-Government Services
05/03/2025,,LADOT METER PARKING LOS ANGELES         CA,0.82,"A06BDB9939E0000000000000000090012
LADOT METER PARKING
LOS ANGELES
CA
0000000000000000090012",LADOT METER PARKING LOS ANGELES         CA,139 SOUTH GEORGE BURNS RD,"LOS ANGELS
CA",90048,UNITED STATES,'320251240169799570',Other-Government Services
05/03/2025,,LADOT METER PARKING LOS ANGELES         CA,0.97,"A867471CAC60000000000000000090012
LADOT METER PARKING
LOS ANGELES
CA
0000000000000000090012",LADOT METER PARKING LOS ANGELES         CA,139 SOUTH GEORGE BURNS RD,"LOS ANGELS
CA",90048,UNITED STATES,'320251240170196530',Other-Government Services
05/03/2025,,LADOT METER PARKING LOS ANGELES         CA,1.00,"BA44A1C6C2B0000000000000000090012
LADOT METER PARKING
LOS ANGELES
CA
0000000000000000090012",LADOT METER PARKING LOS ANGELES         CA,139 SOUTH GEORGE BURNS RD,"LOS ANGELS
CA",90048,UNITED STATES,'320251240170085991',Other-Government Services
04/30/2025,,FRAME.IO            SAN JOSE            CA,0.61,"CH_3RJO8HIE +12122777999
FRAME.IO
SAN JOSE
CA
+12122777999",FRAME.IO            SAN JOSE            CA,345 PARK AVE,"SAN JOSE
CA",95110,UNITED STATES,'320251210093466874',Merchandise & Supplies-Computer Supplies
04/28/2025,,BT*WAVES            KNOXVILLE           TN,24.99,"CRW1FJTZ    8659099200
BT*WAVES
KNOXVILLE
TN
8659099200",BT*WAVES            KNOXVILLE           TN,2800 MERCHANT DR,"KNOXVILLE
TN",37912,UNITED STATES,'320251190026026222',Merchandise & Supplies-Computer Supplies
04/22/2025,*,BEST BUY            PASADENA            CA,33.12,"000201104   888BESTBUY
BEST BUY
PASADENA
CA
Description : ELEC SLS Price : 0.00
888BESTBUY",BEST BUY            PASADENA            CA,3415 EAST FOOTHILL BLVD,"PASADENA
CA",91107,UNITED STATES,'320251130869814539',Merchandise & Supplies-Electronics Stores
04/18/2025,,DISTROKID EXTRAS    NEW YORK            NY,0.99,"CH_2RF9AYJS +14153666101
DISTROKID EXTRAS
NEW YORK
NY
+14153666101",DISTROKID EXTRAS    NEW YORK            NY,228 PARK AVE SOUTH,"NEW YORK
NY",10003,UNITED STATES,'320251080737935810',Other-Miscellaneous
04/18/2025,,YOUR CASH REWARD/REFUND IS,-14.23,YOUR CASH REWARD/REFUND IS,YOUR CASH REWARD/REFUND IS,,,,,'320251090778846527',Fees & Adjustments-Fees & Adjustments
04/15/2025,,MOBILE PAYMENT - THANK YOU,-421.27,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320251050640869224',
04/13/2025,,PADDLE.NET* ACCENTIZNEW YORK            NY,299.00,"306179368   ALICE@PADDLE.COM
PADDLE.NET* ACCENTIZE 515334
NEW YORK
NY
ALICE@PADDLE.COM",PADDLE.NET* ACCENTIZNEW YORK            NY,70 WILSON STREET,"LONDON
ENG",EC2A 2DB,UNITED KINGDOM OF GB AND NI,'320251030589603718',Merchandise & Supplies-Computer Supplies
04/07/2025,,SOUNDLY PRO MONTHLY OSLO                OS,14.99,"CH_3RBNCB45 +4793294327
SOUNDLY PRO MONTHLY
OSLO
OS
+4793294327",SOUNDLY PRO MONTHLY OSLO                OS,"BYGDOY KAPELLVEI 20
OSLO",,0287,NORWAY,'320250980465055265',Merchandise & Supplies-Computer Supplies
04/05/2025,,SPECTRUM            855-707-7328        MO,39.25,"RC139550756CABLE SVC
SPECTRUM
855-707-7328
MO
CABLE SVC",SPECTRUM            855-707-7328        MO,12405 POWERSCOURT DR,"SAINT LOUIS
MO",63131,UNITED STATES,'320250950381223346',Communications-Cable & Internet Comm
03/31/2025,,FRAME.IO            SAN JOSE            CA,45.00,"CH_3R8VANIE +12122777999
FRAME.IO
SAN JOSE
CA
+12122777999",FRAME.IO            SAN JOSE            CA,345 PARK AVE,"SAN JOSE
CA",95110,UNITED STATES,'320250910277657456',Merchandise & Supplies-Computer Supplies
03/30/2025,,YOUR CASH REWARD/REFUND IS,-2.95,YOUR CASH REWARD/REFUND IS,YOUR CASH REWARD/REFUND IS,,,,,'320250900254977174',Fees & Adjustments-Fees & Adjustments
03/29/2025,,MOBILE PAYMENT - THANK YOU,-428.05,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320250880182197997',
03/29/2025,,SPLICE.COM          NEW YORK CITY       NY,0.99,"CH_3R82SECF 3235775423
SPLICE.COM
NEW YORK CITY
NY
3235775423",SPLICE.COM          NEW YORK CITY       NY,817 BROADWAY FLOOR 4,"NEW YORK
NY",10003,UNITED STATES,'320250880190252037',Merchandise & Supplies-Computer Supplies
03/28/2025,,BT*WAVES            KNOXVILLE           TN,24.99,"2BHQK8FK    8659099200
BT*WAVES
KNOXVILLE
TN
8659099200",BT*WAVES            KNOXVILLE           TN,2800 MERCHANT DR,"KNOXVILLE
TN",37912,UNITED STATES,'320250880192270228',Merchandise & Supplies-Computer Supplies
03/20/2025,*,APPLE.COM/BILL      INTERNET CHARGE     CA,2.99,"MXG3WNT8T6A RECORD STORE
APPLE.COM/BILL
INTERNET CHARGE
CA
RECORD STORE",APPLE.COM/BILL      INTERNET CHARGE     CA,"MS-3RA
12545 RIATA VISTA CIRCLE","AUSTIN
TX",78727-5205,UNITED STATES,'320250790944056610',Merchandise & Supplies-Internet Purchase
03/20/2025,*,APPLE.COM/BILL      INTERNET CHARGE     CA,10.99,"MXG3WNX87BA RECORD STORE
APPLE.COM/BILL
INTERNET CHARGE
CA
RECORD STORE",APPLE.COM/BILL      INTERNET CHARGE     CA,"MS-3RA
12545 RIATA VISTA CIRCLE","AUSTIN
TX",78727-5205,UNITED STATES,'320250790944082697',Merchandise & Supplies-Internet Purchase
03/20/2025,*,GUITAR CENTER #125 1PASADENA            CA,33.06,"52134894    866-498-7882
GUITAR CENTER #125 125
PASADENA
CA
Description : MUSICAL INSTRUMENTS Price : 0.00
866-498-7882",GUITAR CENTER #125 1PASADENA            CA,2660 EAST COLORADO BLVD,"PASADENA
CA",91107,UNITED STATES,'320250800982920292',Merchandise & Supplies-Music & Video
03/18/2025,,IN *LOFFREDO & ASSOCLOS ANGELES         CA,240.00,"078IAALL1ZB 3236681023
IN *LOFFREDO & ASSOCIATES
LOS ANGELES
CA
3236681023",IN *LOFFREDO & ASSOCLOS ANGELES         CA,"3020 GLENDALE
BL STE 100","LOS ANGELES
CA",90039-1804,UNITED STATES,'320250780916401559',Business Services-Banking Services
03/10/2025,,FRAME.IO            SAN JOSE            CA,10.21,"CH_3R1FWWIE +12122777999
FRAME.IO
SAN JOSE
CA
+12122777999",FRAME.IO            SAN JOSE            CA,345 PARK AVE,"SAN JOSE
CA",95110,UNITED STATES,'320250700722191948',Merchandise & Supplies-Computer Supplies
03/10/2025,,FRAME.IO            SAN JOSE            CA,10.21,"CH_3R1FVUIE +12122777999
FRAME.IO
SAN JOSE
CA
+12122777999",FRAME.IO            SAN JOSE            CA,345 PARK AVE,"SAN JOSE
CA",95110,UNITED STATES,'320250700723866572',Merchandise & Supplies-Computer Supplies
03/07/2025,,SOUNDLY PRO MONTHLY OSLO                OS,14.99,"CH_3R08R945 +4793294327
SOUNDLY PRO MONTHLY
OSLO
OS
+4793294327",SOUNDLY PRO MONTHLY OSLO                OS,"BYGDOY KAPELLVEI 20
OSLO",,0287,NORWAY,'320250670642765023',Merchandise & Supplies-Computer Supplies
03/05/2025,,SPECTRUM            855-707-7328        MO,39.25,"RC134524947CABLE SVC
SPECTRUM
855-707-7328
MO
CABLE SVC",SPECTRUM            855-707-7328        MO,12405 POWERSCOURT DR,"SAINT LOUIS
MO",63131,UNITED STATES,'320250640556217913',Communications-Cable & Internet Comm
03/03/2025,,LADOT METER PARKING LOS ANGELES         CA,2.00,"593398     100003696537102  90012
LADOT METER PARKING
LOS ANGELES
CA
100003696537102  90012",LADOT METER PARKING LOS ANGELES         CA,139 SOUTH GEORGE BURNS RD,"LOS ANGELS
CA",90048,UNITED STATES,'320250630531675860',Other-Government Services
03/02/2025,,YOUR CASH REWARD/REFUND IS,-6.61,YOUR CASH REWARD/REFUND IS,YOUR CASH REWARD/REFUND IS,,,,,'320250620517479346',Fees & Adjustments-Fees & Adjustments
03/01/2025,,AUTOPAY PAYMENT - THANK YOU,-321.68,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,,,,,'320250600433132604',
02/28/2025,,BT*WAVES            KNOXVILLE           TN,24.99,"CY9BSB8J    8659099200
BT*WAVES
KNOXVILLE
TN
8659099200",BT*WAVES            KNOXVILLE           TN,2800 MERCHANT DR,"KNOXVILLE
TN",37912,UNITED STATES,'320250600445028433',Merchandise & Supplies-Computer Supplies
02/28/2025,,FRAME.IO            SAN JOSE            CA,15.00,"CH_3QXGVYIE +12122777999
FRAME.IO
SAN JOSE
CA
+12122777999",FRAME.IO            SAN JOSE            CA,345 PARK AVE,"SAN JOSE
CA",95110,UNITED STATES,'320250600455284884',Merchandise & Supplies-Computer Supplies
02/26/2025,,WAVE PRO            DENVER              CO,16.00,"NT_RQGZEWOJ +18888334751
WAVE PRO
DENVER
CO
+18888334751",WAVE PRO            DENVER              CO,"1550 WEWATTA ST
SUITE 200","DENVER
CO",80202,UNITED STATES,'320250580398867387',Merchandise & Supplies-Computer Supplies
02/24/2025,,DISTROKID EXTRAS    NEW YORK            NY,0.99,"NT_RPYQQZ9Y +14153666101
DISTROKID EXTRAS
NEW YORK
NY
+14153666101",DISTROKID EXTRAS    NEW YORK            NY,228 PARK AVE SOUTH,"NEW YORK
NY",10003,UNITED STATES,'320250560341565436',Other-Miscellaneous
02/20/2025,*,APPLE.COM/BILL      INTERNET CHARGE     CA,2.99,"MXG3SZZ3V6A RECORD STORE
APPLE.COM/BILL
INTERNET CHARGE
CA
RECORD STORE",APPLE.COM/BILL      INTERNET CHARGE     CA,"MS-3RA
12545 RIATA VISTA CIRCLE","AUSTIN
TX",78727-5205,UNITED STATES,'320250510205793703',Merchandise & Supplies-Internet Purchase
02/20/2025,*,APPLE.COM/BILL      INTERNET CHARGE     CA,10.99,"MXG3T022S9A RECORD STORE
APPLE.COM/BILL
INTERNET CHARGE
CA
RECORD STORE",APPLE.COM/BILL      INTERNET CHARGE     CA,"MS-3RA
12545 RIATA VISTA CIRCLE","AUSTIN
TX",78727-5205,UNITED STATES,'320250510204817962',Merchandise & Supplies-Internet Purchase
02/12/2025,,NIC*ONLINEPYMNTPASADPASADENA            CA,154.45,"8886904    8886902          91109
PASADENA ECOMM PAYMENT
NIC*ONLINEPYMNTPASADEN*PASADENA ECO TY
PASADENA
CA
PASADENA ECOMM PAYMENT
8886902          91109",NIC*ONLINEPYMNTPASADPASADENA            CA,"7701 COLLEGE BLVD
STE 300","OVERLAND PARK
KS",66210,UNITED STATES,'320250440038237526',Other-Government Services
